generation,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
1,384,383,383,382,382,381,381,325,324,324
2,1613,1282,872,713,382,324,320,319,258,258
3,1062,440,265,264,262,258,202,201,200,199
4,1697,1696,1330,1113,1071,1070,1070,1066,876,824
5,675,672,671,671,617,446,446,394,389,388
6,2371,930,927,925,669,669,615,561,503,503
7,1844,1534,1534,1279,1103,1058,719,666,614,559
8,1108,975,970,825,722,672,672,672,671,671
9,2586,2198,2198,1538,1537,1537,1536,1536,1536,824
10,1980,1870,1609,1609,1146,767,763,762,762,761
11,323,322,322,260,259,259,259,258,258,258
12,821,820,819,819,718,717,717,716,716,716
13,921,501,501,450,450,449,448,447,447,446
14,924,619,619,615,614,614,559,448,445,444
15,1108,501,441,440,323,321,321,321,320,320
16,3054,3053,496,495,383,382,382,382,382,382
17,2371,1241,916,915,871,868,868,867,866,866
18,3317,2103,1998,1997,1997,1997,1628,1624,1291,1248
19,2067,1620,1329,832,826,774,773,727,727,727
20,1657,1157,924,923,922,922,921,920,920,920
21,2558,2557,2299,1418,1416,1414,1373,1373,1061,818
22,969,921,614,558,445,386,386,386,322,267
23,2895,2806,970,970,877,716,665,610,609,500
24,2497,2496,2397,1009,657,610,609,609,608,606
25,1851,1814,1662,922,921,919,918,918,823,822
26,1692,1688,1688,1237,1006,864,764,763,763,763
27,2037,1074,1071,1069,1069,977,880,776,724,557
28,4172,3879,3289,2033,2033,2032,2032,2032,2032,2032
29,2044,1295,1295,1069,1068,1068,721,615,561,505
30,3685,2303,2234,816,714,714,714,663,444,323
31,2843,1614,1320,1236,1236,1235,1235,1057,1008,1008
32,3397,664,563,560,558,558,558,557,557,557
33,2475,1503,500,496,496,495,495,379,379,321
34,915,664,502,326,324,323,323,322,322,322
35,829,828,827,827,779,778,777,776,776,776
36,566,563,562,561,560,506,505,505,449,449
37,1508,1300,1297,1296,1296,1296,1251,1022,973,973
38,610,499,446,445,441,440,440,440,325,325
39,4494,3562,1545,972,721,564,562,561,560,560
40,2341,1776,1697,1536,1154,1064,1064,1062,1062,1061
41,2721,1816,766,765,440,323,323,259,259,258
42,2232,1248,974,715,495,495,495,436,436,379
43,1748,667,559,385,383,383,265,264,264,263
44,2371,1610,1417,961,764,496,496,386,385,383
45,4513,4127,2339,2208,2208,2208,1739,1619,1204,1204
46,4248,3328,3135,2994,2606,2606,2317,2246,1389,1388
47,4138,3826,3826,3700,3700,3700,2539,2446,1586,770
48,1629,1509,826,777,728,726,726,726,564,507
49,3638,3637,3636,3636,3636,3530,3061,2369,2336,1812
50,4187,4186,3034,2863,2863,2863,1655,1655,820,820
51,4255,3500,2957,2957,2956,2956,2956,2956,2928,2926
52,3852,3831,3830,3830,2525,2264,2200,2057,1691,921
53,4331,4286,4286,4219,4196,4196,4128,3276,2739,2739
54,3714,3688,871,823,769,662,557,448,445,444
55,4578,3032,3032,3031,3031,3031,3030,3030,3030,3030
56,3840,1111,966,966,816,816,815,815,815,815
57,4024,1249,1248,1248,717,501,384,382,326,326
58,3208,3122,2774,2714,1206,1070,975,928,927,927
59,4242,2532,1515,1081,988,942,686,576,575,573
60,911,660,656,655,655,604,603,602,601,601
61,2383,2349,2349,1814,1620,1381,1379,1378,1378,770
62,2558,1811,921,871,718,717,717,717,556,556
63,4564,4289,4174,3559,3559,3558,3558,3558,3558,3558
64,3172,2883,2343,2275,2210,2209,2209,1413,1413,1192
65,2429,1202,875,875,874,874,874,618,618,562
66,1972,724,565,564,556,555,497,497,497,438
67,3483,3482,3481,3481,3481,3214,2902,2407,1702,1022
68,2561,2531,2530,2400,2232,2231,771,667,618,617
69,3261,1746,1464,1380,1379,1379,780,775,775,775
70,4271,2751,2438,2337,2337,2304,1338,504,504,504
71,3457,1891,1816,1165,722,722,668,558,445,387
72,1859,1821,1294,724,722,721,721,721,721,559
73,2933,2932,2932,983,977,977,977,827,672,671
74,4334,3043,3043,3042,3042,3042,2629,2629,1617,1465
75,4259,4213,3124,2816,2004,1968,672,672,670,669
76,3059,3058,3058,3057,3057,3057,2519,1691,720,508
77,4186,3358,1990,1461,1064,1064,972,877,875,771
78,4318,3022,2626,971,675,671,670,669,669,669
79,4663,4303,4303,3393,2465,2031,1498,1494,1412,661
80,4633,4588,4566,4566,4565,4565,4565,4521,4521,3620
81,4371,4349,4349,3705,3122,2747,2747,2747,2747,2747
82,3158,3157,1589,879,829,826,720,667,614,559
83,4105,4104,4103,4103,4103,3837,3837,2300,2159,2158
84,4898,4878,4877,4877,4876,4876,4876,4876,4876,4345
85,4622,4600,4305,4190,4121,3854,3708,2920,2056,1290
86,4078,4056,4056,4055,4055,4055,3910,3910,3450,3424
87,4481,1288,873,668,615,507,506,506,505,505
88,4128,3730,2068,2033,2033,1698,1422,663,663,662
89,4469,3462,3461,3461,3460,3460,3460,3460,3161,2719
90,4127,4105,4105,3860,2957,2632,672,616,615,615
91,2539,1166,1165,1164,1162,1161,723,722,670,670
92,4526,2981,2980,2980,2980,2979,2979,2979,2979,2713
93,4088,4087,4086,4086,4086,4085,4085,4085,4085,4085
94,3884,3883,3883,3629,3143,2299,2063,963,665,505
95,3899,3898,3898,3897,3897,3897,2992,2068,2067,2067
96,3230,3091,3062,2200,1368,1195,821,820,820,820
97,3610,3609,2715,2688,2685,877,610,559,555,555
98,3019,3018,2989,2037,1504,1421,821,720,437,378
99,4406,4286,4151,4151,4151,4055,3611,1467,1424,1338
100,4547,4504,4503,3991,3466,3333,2797,2359,1917,1655
