generation,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
1,5314,3351,2211,1962,1817,1817,1158,1019,971,923
2,6551,6394,6377,6377,4373,2584,606,605,604,603
3,614,565,564,561,561,560,560,560,559,559
4,6411,6360,5969,5818,5708,4192,2952,2866,1888,1246
5,3118,2399,1992,1957,1957,1734,1693,1289,1154,1154
6,1251,875,874,772,666,615,614,614,506,446
7,5828,1987,1728,1407,1151,809,758,708,708,707
8,6524,6505,6505,6079,2447,1748,1072,921,773,769
9,6384,6333,6333,5990,921,497,441,441,324,324
10,6473,3178,2558,558,556,555,553,553,553,552
